Property_Age,Location,Market_Trend,ROI
51,Residential,Stable,65.23728878470487
92,Suburban,Falling,39.364407664854376
14,Touristic,Rising,113.30962392744041
71,Residential,Stable,55.222403977118226
60,Mountainous,Falling,60.05081226763578
20,Industrial,Stable,78.94658507096561
82,Suburban,Rising,59.40238766930275
86,Touristic,Stable,69.24578301698226
74,Touristic,Rising,78.23810509981247
74,Coastal,Stable,57.131890273576786
87,Coastal,Rising,62.67639994953913
99,Metropolitan,Stable,49.46798374640977
23,Residential,Rising,91.84575935713089
2,Residential,Stable,94.01330579063276
21,Residential,Stable,90.65690468089716
52,Metropolitan,Falling,60.647914303492996
1,Urban,Falling,103.31495157687885
87,Touristic,Rising,70.87676130837478
29,Suburban,Stable,74.94721875516495
37,Mountainous,Rising,80.04182641932805
1,Touristic,Falling,95.86574658502103
63,Coastal,Rising,66.76395259965737
59,Rural,Rising,72.6993822745345
20,Industrial,Falling,73.75048469561101
32,Metropolitan,Stable,94.71837869702412
75,Historic,Rising,72.59226729631987
57,Rural,Falling,53.2850380494052
21,Mountainous,Stable,83.43658414889539
88,Residential,Falling,33.02307549912127
48,Coastal,Rising,70.8045224337814
90,Coastal,Stable,43.854737762036905
58,Coastal,Stable,71.61548680662905
41,Residential,Falling,68.4004036111073
91,Historic,Falling,41.41718131298307
59,Metropolitan,Falling,58.211877566897115
79,Rural,Stable,51.94170211304427
14,Residential,Stable,83.71089485910689
61,Mountainous,Rising,73.67000814689719
61,Metropolitan,Stable,73.35473221683942
46,Mountainous,Rising,76.99021571652085
61,Metropolitan,Falling,66.24608403949271
50,Historic,Falling,61.144731901021196
54,Industrial,Stable,64.35588450453527
63,Mountainous,Falling,55.02139195816265
2,Residential,Falling,89.6214268416526
100,Metropolitan,Stable,62.14030388561623
50,Coastal,Rising,82.45331078304929
6,Touristic,Stable,104.30633971704678
20,Coastal,Rising,93.79930542987844
72,Urban,Stable,74.14856447767579
38,Industrial,Stable,70.64824274330107
17,Industrial,Falling,81.06925071704083
3,Coastal,Stable,92.06197632909598
88,Rural,Stable,58.45468413600865
59,Historic,Rising,78.44103203520038
13,Mountainous,Falling,78.1606688446345
8,Residential,Rising,99.81756175547864
89,Industrial,Rising,63.128064272242185
52,Coastal,Falling,61.385621738430274
1,Coastal,Falling,82.50828497749737
83,Historic,Falling,43.959178791341735
91,Historic,Stable,53.981950436743006
59,Suburban,Falling,48.68321871059875
70,Suburban,Falling,53.629391102768565
43,Rural,Falling,66.10607289179677
7,Rural,Rising,107.43323737780746
46,Urban,Rising,88.4217314934838
34,Rural,Stable,78.02858043046446
77,Metropolitan,Rising,77.52534188002448
80,Historic,Stable,58.69398258600118
35,Residential,Rising,89.645584645805
49,Metropolitan,Falling,64.30222450593863
3,Mountainous,Rising,104.95522016430823
1,Coastal,Stable,104.52114387135204
5,Rural,Rising,105.55878787980657
53,Coastal,Falling,66.690234722683
3,Industrial,Stable,98.71530688647407
53,Urban,Falling,75.31200967719205
92,Industrial,Falling,40.54984330492353
62,Urban,Stable,76.60922554806058
17,Suburban,Falling,77.77758878320688
89,Coastal,Falling,40.52170432524761
43,Urban,Rising,97.21097490034552
33,Touristic,Falling,75.894990304964
73,Metropolitan,Falling,67.92691158007317
61,Urban,Falling,59.85993516155863
99,Urban,Falling,49.55694059958579
13,Metropolitan,Stable,105.39335708651794
94,Coastal,Rising,57.116891230197986
47,Coastal,Falling,55.93511344430918
14,Metropolitan,Falling,93.77764794641178
71,Industrial,Stable,60.51697655025128
77,Touristic,Falling,60.56658036300872
86,Residential,Stable,51.452727005813415
61,Mountainous,Rising,83.15962341161199
39,Touristic,Rising,84.91495973896826
84,Coastal,Falling,44.88088775641867
79,Residential,Falling,52.20874741875799
81,Suburban,Falling,45.026695224146984
52,Rural,Stable,70.51179346508455
23,Urban,Falling,81.32994093716496
25,Metropolitan,Falling,82.60344253933309
88,Metropolitan,Rising,62.640716934318476
59,Urban,Falling,61.90784333690154
40,Rural,Rising,81.06622436448886
28,Mountainous,Falling,74.34561995514649
14,Rural,Rising,95.14315120356133
44,Residential,Falling,60.2876222503009
64,Rural,Rising,71.1103831985743
88,Residential,Stable,47.256776487423416
70,Rural,Rising,71.34511134630849
8,Mountainous,Rising,102.88815734716455
87,Mountainous,Rising,65.6250928986088
0,Coastal,Falling,88.26375041143972
7,Urban,Falling,94.2637887249235
87,Mountainous,Falling,39.855158330012785
62,Residential,Stable,62.034481248310605
10,Mountainous,Stable,85.64394498825772
80,Coastal,Rising,60.5537815555295
7,Metropolitan,Stable,102.4713070483963
34,Residential,Rising,84.4029197960996
34,Coastal,Rising,95.34162066677979
32,Industrial,Rising,88.81249588462754
4,Industrial,Stable,100.5069505357977
40,Suburban,Falling,67.85883527285584
27,Rural,Stable,77.61381782764144
6,Urban,Rising,111.68976905709091
72,Historic,Rising,60.63273829441142
71,Touristic,Stable,70.45212677532642
11,Coastal,Rising,96.07115796077342
33,Metropolitan,Rising,92.9327099589237
32,Touristic,Stable,96.61073379274023
47,Metropolitan,Stable,86.65293870492144
22,Touristic,Stable,99.0151948938123
61,Coastal,Rising,78.41055638325471
87,Historic,Rising,55.32555477937109
36,Touristic,Falling,74.99760253596581
98,Coastal,Falling,34.30248179265057
43,Mountainous,Stable,64.95131462950535
85,Historic,Falling,39.71499452578006
90,Residential,Rising,57.269510121914784
34,Metropolitan,Falling,78.62999473747482
64,Industrial,Rising,85.66193800119171
98,Rural,Stable,45.895518616976304
100,Industrial,Stable,45.632572272848336
46,Historic,Rising,80.74894863617929
77,Residential,Falling,50.188564400268724
2,Metropolitan,Stable,98.63041395677112
0,Residential,Stable,104.4801874757697
4,Touristic,Falling,92.3792039626659
89,Metropolitan,Falling,48.52405083484468
13,Touristic,Rising,113.350185368319
26,Coastal,Falling,67.54538703977573
8,Historic,Falling,84.59625491527666
78,Coastal,Falling,53.0258502779768
14,Suburban,Rising,96.79328613798495
89,Residential,Rising,70.76420806539936
41,Touristic,Stable,87.72145763130627
76,Mountainous,Rising,70.28347129832214
50,Coastal,Stable,76.82932667592995
62,Suburban,Falling,62.15367477318187
95,Urban,Stable,58.8091949320319
51,Industrial,Stable,73.48452720688469
95,Metropolitan,Falling,54.48170746580464
3,Suburban,Stable,87.69094461819282
93,Historic,Rising,49.85248800183676
100,Coastal,Rising,54.71223039797047
22,Historic,Rising,85.2325432129031
14,Industrial,Rising,96.43002451846024
42,Mountainous,Stable,75.57186767099569
28,Residential,Stable,79.62180616972437
35,Residential,Falling,66.79203475948155
12,Historic,Stable,83.99166743189538
31,Touristic,Stable,93.44071771985472
70,Mountainous,Stable,54.6826831643883
58,Residential,Falling,45.485491344724835
85,Mountainous,Rising,61.4633061373339
27,Suburban,Stable,86.07509962459977
65,Mountainous,Falling,52.89915395941488
41,Rural,Falling,58.676014924598825
44,Industrial,Falling,63.50975483703168
61,Residential,Rising,76.69151852384175
56,Mountainous,Stable,67.45158345759464
5,Historic,Falling,81.17707876555707
27,Urban,Rising,103.93019340821374
27,Rural,Falling,62.80786548589927
43,Rural,Falling,59.030223046187096
83,Touristic,Falling,46.97395951097345
29,Mountainous,Falling,77.24193185994078
61,Touristic,Falling,68.06015860494193
74,Touristic,Rising,78.92562517157009
91,Urban,Stable,52.246891733235955
88,Suburban,Stable,54.720738944740596
61,Mountainous,Stable,71.43270067495908
96,Coastal,Stable,49.85747368231781
0,Residential,Rising,104.82411291748221
26,Touristic,Rising,105.15859015925308
61,Industrial,Rising,75.86458057126345
76,Metropolitan,Falling,61.630381168198696
2,Industrial,Falling,88.51842820896476
69,Urban,Falling,59.394672316948366
71,Urban,Stable,66.19679308557946
26,Historic,Falling,70.00088529656911
8,Suburban,Stable,93.67925167502467
61,Residential,Falling,52.80280174101096
36,Touristic,Stable,83.24735190923089
96,Industrial,Falling,36.99523314373397
50,Metropolitan,Falling,75.53728465334476
43,Urban,Rising,94.17554033567032
23,Urban,Falling,82.11891001999787
78,Suburban,Falling,47.602158964733825
58,Metropolitan,Rising,86.42019604524934
31,Metropolitan,Stable,79.83181479495161
95,Suburban,Rising,60.983795715095795
87,Urban,Rising,73.53729219973555
51,Residential,Stable,69.58085899472873
61,Mountainous,Falling,59.811783503614606
57,Mountainous,Stable,72.56499682125099
51,Suburban,Falling,63.493843307367754
11,Metropolitan,Falling,85.24849591982233
38,Touristic,Stable,81.9214444468652
1,Suburban,Rising,110.08667770000991
2,Residential,Stable,84.613880365274
100,Suburban,Falling,34.255762424189435
55,Rural,Stable,69.69912903515541
80,Industrial,Stable,46.24796132276248
58,Metropolitan,Falling,67.1717161942515
1,Historic,Rising,109.27214538292976
1,Historic,Stable,87.07211964948262
91,Metropolitan,Falling,57.790851033470794
53,Residential,Falling,53.45084961950545
86,Rural,Stable,54.87368123238515
100,Rural,Rising,54.58201785820683
95,Urban,Stable,57.847578118502256
96,Industrial,Rising,50.582524321629215
0,Mountainous,Rising,111.3023648117653
18,Coastal,Rising,97.62941731675117
1,Residential,Rising,112.60420088451578
52,Coastal,Stable,62.71291389710487
43,Coastal,Falling,62.59382683060653
89,Metropolitan,Falling,51.54764619851104
31,Historic,Falling,69.80191573647463
69,Historic,Falling,53.833926723362104
31,Mountainous,Falling,68.53040729038062
67,Metropolitan,Falling,72.11013023150343
54,Coastal,Stable,68.19921161094089
74,Touristic,Rising,63.579227821188326
55,Historic,Falling,57.92100504169686
16,Residential,Stable,93.30731992433091
37,Residential,Falling,61.88346949074733
23,Urban,Falling,78.56622405414382
68,Suburban,Rising,66.79805146830205
97,Touristic,Rising,61.117615950114356
69,Historic,Rising,68.10299143147003
85,Rural,Falling,47.0464861317461
10,Historic,Falling,87.63166364206347
15,Urban,Falling,75.378748380314
96,Residential,Rising,55.10772673211272
72,Coastal,Stable,60.513489971883665
58,Rural,Falling,57.01339181692595
69,Metropolitan,Falling,69.99969833311445
79,Industrial,Falling,35.44653045208966
92,Coastal,Stable,36.0546803265575
2,Industrial,Falling,94.31106262019128
19,Touristic,Stable,99.26716846623668
58,Suburban,Falling,53.14314206523545
35,Rural,Stable,78.35799386533978
18,Mountainous,Falling,77.21608811280534
89,Rural,Rising,57.522396048320104
66,Historic,Rising,72.70889185345717
18,Residential,Rising,97.7740668733006
19,Historic,Rising,105.57765130681412
95,Historic,Falling,42.3172561114277
70,Touristic,Rising,88.69661570121038
51,Coastal,Stable,62.782142581635526
32,Mountainous,Rising,87.26401370191071
39,Mountainous,Rising,86.71123491965812
38,Historic,Rising,76.39449623433518
81,Industrial,Falling,50.4092966905464
0,Touristic,Rising,118.2110488615563
10,Historic,Stable,88.16420740023068
91,Suburban,Rising,58.583328282496076
56,Residential,Rising,83.26933444411874
88,Coastal,Rising,57.022810261815174
49,Metropolitan,Stable,86.97092674831144
22,Suburban,Rising,92.73980631706856
30,Industrial,Stable,83.77998026388458
93,Rural,Stable,48.933821027894936
41,Rural,Rising,95.66596923325594
98,Suburban,Stable,41.56303804946237
6,Historic,Falling,79.13358688711533
15,Metropolitan,Rising,99.96937261155584
89,Urban,Rising,65.0162141648534
59,Urban,Stable,79.06564053847258
1,Industrial,Stable,102.5008181943253
0,Historic,Rising,109.13240435180138
47,Mountainous,Falling,61.47304250136567
11,Mountainous,Stable,85.03192749171973
68,Coastal,Stable,65.49209335813575
36,Metropolitan,Falling,72.25699047407082
31,Metropolitan,Falling,72.7552413284712
8,Rural,Rising,99.45765333395047
98,Touristic,Falling,35.83029691555752
18,Industrial,Rising,89.09307562723876
47,Urban,Falling,80.9299516794141
79,Industrial,Stable,47.66595787770799
2,Mountainous,Rising,98.05925809477094
19,Mountainous,Rising,95.85916453853332
23,Suburban,Rising,94.11951940015008
53,Coastal,Falling,57.32687851310573
32,Metropolitan,Stable,78.98313125554442
23,Residential,Rising,97.74244663818895
74,Industrial,Rising,65.78473300121001
71,Mountainous,Rising,75.6022476108745
35,Touristic,Rising,94.27591189235577
37,Rural,Stable,81.41247169570289
83,Urban,Falling,59.98041724539718
98,Coastal,Stable,43.6652886212309
88,Touristic,Rising,75.40225097052823
98,Coastal,Stable,39.357276609418015
24,Suburban,Rising,94.31844743534747
92,Residential,Falling,45.111138541774196
17,Mountainous,Falling,79.09246422982062
81,Rural,Falling,56.531119614266196
65,Touristic,Rising,85.37178996145578
53,Coastal,Stable,66.67364373696249
34,Metropolitan,Falling,92.20443196500749
79,Suburban,Rising,73.66850508673775
60,Metropolitan,Rising,76.98546219100801
40,Rural,Stable,71.07918197535842
99,Touristic,Falling,40.30920946479338
32,Suburban,Rising,92.22814802254528
67,Touristic,Stable,74.35579018408394
32,Mountainous,Falling,71.8172596619775
13,Historic,Stable,80.35045270250525
20,Suburban,Stable,81.80954226697476
47,Metropolitan,Rising,90.75357372638177
19,Rural,Rising,86.39039725339639
7,Residential,Rising,97.14086116721055
6,Mountainous,Stable,98.78216855082866
66,Historic,Rising,64.22962001015206
16,Residential,Stable,94.2763024685924
32,Urban,Stable,94.45574546267751
47,Mountainous,Rising,80.0463139009776
75,Rural,Falling,44.25563500316158
58,Coastal,Falling,60.1591381107265
85,Suburban,Falling,38.56129919552185
21,Touristic,Stable,90.81001025026939
29,Rural,Stable,80.38065797997636
37,Suburban,Stable,65.8488320210654
50,Residential,Rising,72.75012200799146
53,Touristic,Stable,76.92169375499259
7,Industrial,Rising,103.878480161063
26,Metropolitan,Rising,97.99213030960661
26,Urban,Falling,81.01194760989159
97,Mountainous,Falling,28.43270295931184
20,Rural,Falling,79.6624192613516
29,Urban,Rising,101.6004116478049
96,Coastal,Rising,58.542729513196086
27,Suburban,Rising,93.94125308992447
63,Suburban,Stable,63.89063751747393
96,Rural,Rising,54.58113620713
68,Historic,Falling,56.648272743601545
60,Historic,Falling,55.78440573880386
47,Industrial,Rising,80.67140285663288
18,Metropolitan,Rising,105.95672673039748
3,Touristic,Falling,93.3501746675563
34,Coastal,Rising,87.12117198037343
63,Urban,Falling,65.73053181253954
48,Historic,Stable,66.32069888938815
16,Industrial,Falling,72.68604482129845
43,Industrial,Stable,76.29631844714318
91,Rural,Rising,58.77380329636102
29,Coastal,Rising,95.35696551071548
92,Residential,Stable,51.044395003159316
45,Touristic,Rising,89.73686044961885
5,Metropolitan,Stable,105.37548181564337
98,Mountainous,Rising,61.98595478979468
36,Rural,Falling,69.23489778060627
23,Touristic,Rising,106.82792471533398
92,Mountainous,Falling,38.141145746982986
45,Mountainous,Falling,67.46519941440252
52,Coastal,Stable,66.09654792535179
94,Coastal,Rising,59.69271512870258
98,Urban,Stable,68.84753076217966
59,Industrial,Rising,78.1944052801283
96,Touristic,Falling,44.89644384704066
62,Rural,Falling,51.883538791543
84,Suburban,Rising,62.64329151354828
31,Rural,Rising,93.75622890864706
86,Urban,Stable,62.72888754583691
32,Metropolitan,Rising,95.75736093380802
66,Industrial,Rising,68.74851503605655
17,Suburban,Rising,97.2602466551149
24,Historic,Stable,83.21197493369395
94,Metropolitan,Rising,70.2748808455951
53,Coastal,Falling,63.08744947892447
57,Mountainous,Stable,80.13679851204749
66,Historic,Stable,54.689832416162
45,Rural,Falling,65.9343106364322
23,Rural,Falling,73.99153854194145
31,Coastal,Falling,60.27711884444706
46,Urban,Rising,98.24765361825864
85,Touristic,Falling,54.60586613290974
22,Historic,Rising,97.99903146410078
65,Historic,Stable,54.00290527451159
26,Residential,Stable,80.89791536250895
1,Metropolitan,Falling,89.10401527552852
89,Industrial,Rising,71.31550471340306
16,Metropolitan,Falling,92.7227517287219
32,Touristic,Falling,75.59516108357269
8,Rural,Rising,93.31680549525198
42,Rural,Falling,64.97027533191877
47,Rural,Stable,76.9621100114718
38,Residential,Falling,57.32473197282035
92,Rural,Rising,54.34112664503415
41,Touristic,Rising,88.9720764549302
25,Coastal,Stable,86.83473082955294
98,Industrial,Rising,54.15085455727744
49,Touristic,Rising,88.86031738811248
24,Industrial,Stable,83.87327340319484
23,Touristic,Falling,79.10859593835492
12,Rural,Stable,81.78156631636217
59,Coastal,Falling,62.34842581180143
6,Historic,Stable,99.31242854239797
56,Metropolitan,Falling,67.8979122973159
35,Mountainous,Stable,78.7607775283381
44,Coastal,Falling,69.30506988290004
19,Historic,Stable,86.2832677830187
64,Urban,Falling,60.904610470281774
7,Touristic,Stable,101.69669563388732
15,Urban,Rising,114.46584318583736
13,Historic,Falling,78.76660834214402
75,Coastal,Stable,54.15308732673223
86,Touristic,Falling,52.73501024642549
14,Mountainous,Falling,81.28111568767882
91,Rural,Stable,52.1812674745285
97,Touristic,Falling,49.26411974035805
65,Touristic,Stable,68.36661160433285
31,Coastal,Rising,93.35051783279228
86,Coastal,Falling,42.142329696061445
62,Historic,Rising,70.44104416265273
85,Suburban,Falling,46.31075856826017
50,Touristic,Falling,67.73180575541618
24,Metropolitan,Falling,75.12851325722224
57,Touristic,Stable,71.4969880944484
62,Historic,Rising,73.09181533476459
61,Industrial,Falling,57.3915114105564
21,Urban,Stable,90.17965023955955
57,Rural,Falling,55.296687697812324
57,Suburban,Stable,60.41696384168471
85,Mountainous,Falling,47.410164581199055
48,Mountainous,Rising,89.58665556977776
51,Mountainous,Rising,87.54641262244161
41,Coastal,Falling,69.32489775243069
69,Mountainous,Stable,64.8125497856013
14,Rural,Falling,67.64060237798398
53,Urban,Stable,79.38586616110052
59,Mountainous,Falling,53.01953688170046
100,Touristic,Stable,59.402331805224506
96,Touristic,Rising,54.31201062159336
